Unnamed: 0,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
16,@IntheLifeofJeff,Jeff Ashe,29-May,"@NyBaseball36
 We took Gm 1 with a big 5-2 W...It's gonna a wild ride...Hope u r ready! #MattVsJeff #BruinsVsIslanders #CelticsVsNets #BostonRedSoxVsNewYorkYankeesMets  WE R #BOSTONSTRONG!",[],No Video
17,@suddsgirl,Lori ³³º¹,29-May,"Thank you @NHLBruins @CityOfBoston @Bmarch63 . We needed that, & I don’t just mean the win.  #BostonStrong",[],No Video
18,@pawsionatecom,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/FyohuXUaUAUt2ba.jpg,No Video
19,@GethinCoolbaugh,Gethin Coolbaugh,29-May,"We’re back. 

(Not gonna lie, I teared up…)


#FullCapacity #BostonStrong #The617 #NHLBruins #StanleyCup",https://pbs.twimg.com/media/E2mQaQ8WYAgyPkN.jpg,No Video
20,@CarterBWorth,Carter Braxton Worth,No Date,No Tweet Contents,https://pbs.twimg.com/amplify_video_thumb/1715078170687180800/img/scmqkLYEvD9Pc86-.jpg,https://pbs.twimg.com/amplify_video_thumb/1715078170687180800/img/scmqkLYEvD9Pc86-.jpg
21,@BCassellius,Brenda Cassellius,29-May,These hockey playoffs got me itching to get back on the ice…so today I got a pair of inlines to get my legs back underneath me. #Nextbestthing #hockeylife Go ⁦@NHLBruins⁩ #BostonStrong,https://pbs.twimg.com/media/E2mGyoXXIAIeEFh.jpg,No Video
22,@Shaddoe6,Robin Bernier,29-May,Hey #TDGarden #NHLBruins Full capacity fans...make it LOUD!! Go  #BRUINS #BostonStrong #DontPokeTheBear,[],No Video
23,@NYCRobyn,No Name,29-May,#bostonstrong #MemorialDayWeekend @WCVB @CityOfBoston @VisitMA #makewayforducklings #streetart #whyiwalk #swanboats 37000 flags #boston,https://pbs.twimg.com/media/E2lSKDWX0AQU_GD.jpg,No Video
24,@Coroner_4,No Name,29-May,#bostonstrong catch up...,[],No Video
31,@BostonSegway199,Boston Segway Tours,29-May,"Come see us this #summer2021! Get your friends or family together and go on a joy ride on Boston's #1 Tour!

http://segwayinboston.com
#boston #segway #tours #friends #travel #dallas #bostoncity #bostonmass #bostonlife #losangeles #rhodeisland #backbay #beantown #bostonstrong",https://pbs.twimg.com/media/E2lMkrxXoAIUDQi.jpg,No Video
32,@SMGebru,Samuel M,29-May,Joy is an act of resistance. Shout out to my cousin Rahiel for earning her MA & EdS in School Psychology from @TuftsUniversity. Say hello to Boston’s newest school psychologist!  you to the moon & beyond  #family #BlackJoy #BlackExcellence #TigrayStrong #BostonStrong,https://pbs.twimg.com/media/E2k0zhzXMAEDL2r.jpg,No Video
33,@CabinetPartsCom,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/commerce_product_img/1597240418940293121/3RUCoJA6.jpg,No Video
34,@EE_MON_EE,No Name,29-May,I actually got to touch the gold ball when they came back and did a publicity shoot in bean town my bud who was with me still has the pic of us touching it #celtics #patsnation #bostonstrong,[],No Video
35,@AndyAxlRod,No Name,29-May,Thank you @Atlbraves775 and all other people who hate on Boston cause the internet tells you too. I made this bet for the sole reason to spite all the trolls so thank you losers drinks are on you today  @celtics #BostonStrong,https://pbs.twimg.com/media/E2jxoH8XoAcV1Dr.jpg,No Video
36,@BrenVSReviews,Brendan Rooney,28-May,Daily Reminder I bleed Boston Sports!!! #BostonStrong,[],No Video
37,@MagikFlameFire,No Name,No Date,No Tweet Contents,[],No Video
38,@yourmorningfix,Lynette P,28-May,Adding to my Boston  marathon collection. #Bostonmarathon #BostonStrong #Bostonqualifier #rynningjewelry,[],No Video
39,@Mg5885,No Name,28-May,LETS GO CELTS #bleedgreen #bostonstrong  #framingham,[],No Video
40,@theHuntahh,No Name,28-May,Love the Boston Hat!  #BostonStrong,[],No Video
41,@vintagegirl1963,No Name,28-May,"New distance record!  Walked 4.7 miles! Need to improve my time, but it’s coming!  #bostonmarathon #bostonstrong",https://pbs.twimg.com/media/E2g1eKsX0AY5pf4.jpg,No Video
42,@sportsguy_rich,No Name,28-May,Those people will always criticize us anyway! They hate us cause they ain’t us! #BostonStrong,[],No Video
43,@LexxiiWaiter,Lexxii Waiter,28-May,Meee!! really need help. 6 yr old really needs some new clothes. Single mom living in a shelter for 3 yrs now. DV Survivor #BostonStrong,[],No Video
44,@Definitely_Cuff,Storytime Stiz,28-May,Did I tell you when I was throwing dumplings across the table at Shanghai Village with Steph Catley? #BostonStrong,[],No Video
45,@JohnnyR61105610,Johnny B Wright,28-May,"Hurt the NJ Nets, @jaytatum0 & @smart_MS3. Don’t go quiet. Chips are way down but all the fans want is the effort. So far, very good. Send them back to Jersey feeling sad. No Fouls Left Behind. #BleedGreen
#BostonStrong  ",https://pbs.twimg.com/tweet_video_thumb/E2ezrVKXoAENlw9.jpg,https://pbs.twimg.com/tweet_video_thumb/E2ezrVKXoAENlw9.jpg
46,@AllstonBrighton,Frank Mendoza,27-May,"#Allston and #BrightonMA, there was a particularly devastating fire yesterday in another part of the city that impacted scores of adults and children. If you’re able to pitch in and help your fellow Bostonians it would be much appreciated #BostonStrong",https://pbs.twimg.com/media/E2bm65zX0AA_lEt.jpg,No Video
47,@anchorsaway17,No Name,27-May,Boston Marathon finish line! #bostonstrong,[],No Video
48,@NordVPN,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/F9HpKxiWMAAppOK.jpg,No Video
49,@JohnnyR61105610,Johnny B Wright,27-May,"Leslie Marshall has a “think tank” which is code for “no job” in real talk. She helps fellow hustlers win elections out of my area. I could’ve done her job but I liked drinking, tbh. Like my hero.  #Outnumbered #BostonStrong ",https://pbs.twimg.com/tweet_video_thumb/E2aFiurWEAMXxls.jpg,https://pbs.twimg.com/tweet_video_thumb/E2aFiurWEAMXxls.jpg
50,@seanftw,No Name,27-May,Boylston St marathon finish line #BostonStrong,[],No Video
51,@hotfire30,No Name,26-May,@RedSox dude... I've battled Rt 2. and I90 for 22 years. Close to 100 games. Was in the @BleacherBar when #bostonstrong was happening. #pedro #schill #papi #mooook You cut me deep with this one @celtics @NHLBruins @NERevolution please don't forget us!,[],No Video
52,@Ckese_Shop,No Name,No Date,No Tweet Contents,[],No Video
53,@Throwback978,No Name,26-May,"Drew man come on and see if the community will just do that Tonight!! you called the shot, and i know someone in the community will end that shot!! you a good man and a friend. But we will see who becomes the Wicked Crazy Pinfalls World Champion #bostonstrong",https://pbs.twimg.com/ext_tw_video_thumb/1397631776714104834/pu/img/ZJgIJxAgpfmcNrr5.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1397631776714104834/pu/img/ZJgIJxAgpfmcNrr5.jpg
54,@CrawfishJimmy,Jimmy Crawsin,26-May,Lmaoooooo listen little man I’ll worry about the ladies. You keep bouncing on cock with ur buddy #Foh #BostonStrong,[],No Video
55,@JohnnyR61105610,Johnny B Wright,26-May,"Kyrie is just mad that there were no fun places to get loaded when he was on the Celtics. The night life sucks for the players. He is a pussy, though. Flat Brain. And fire Brad. #BleedGreen #BostonStrong #BrooklynTogether (New Jersey forever) ",https://pbs.twimg.com/tweet_video_thumb/E2VG7GuWQAA_lZk.jpg,https://pbs.twimg.com/tweet_video_thumb/E2VG7GuWQAA_lZk.jpg
56,@JohnnyR61105610,Johnny B Wright,26-May,"Ted Wheeler is a moron. People in Portland, Oregon can take it or leave it. Not my problem on this side. Not yet.  #Outnumbered #BostonStrong #WednesdayThoughts",https://pbs.twimg.com/tweet_video_thumb/E2U7c4CXEAQ-o57.jpg,https://pbs.twimg.com/tweet_video_thumb/E2U7c4CXEAQ-o57.jpg
57,@BPSOF,Boston Police Superior Officers Federation,26-May,"#ThankYou to the Randolph community for creating a beautiful play area in Belcher Park that honors Sgt. Simmonds service & sacrifice.
#NeverForget #RestEasy #WhereAngelsPlayFoundation #BostonStrong @bostonmarathon
@RandolphPD @TownofRandolph @NatPoliceAssoc",https://pbs.twimg.com/media/E2UewUzXsAo2P8d.jpg,No Video
61,@JohnnyR61105610,Johnny B Wright,26-May,"Ted Wheeler is a moron. People in Portland, Oregon can take it or leave it. Not my problem on this side. Not yet.  #Outnumbered #BostonStrong #WednesdayThoughts",[],https://pbs.twimg.com/tweet_video_thumb/E2U7c4CXEAQ-o57.jpg
63,@JohnnyR61105610,Johnny B Wright,25-May,"All students should be naked in school. Put back in Priests to teach, too. Worked for me. #TheView #BostonStrong",[],No Video
64,@Konnan5150,No Name,24-May,Good you're back and healthy..#BostonStrong,[],No Video
65,@Cozyjoymall,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/amplify_video_thumb/1727781558201823232/img/CQXuq4gj1XLbziJw.jpg,https://pbs.twimg.com/amplify_video_thumb/1727781558201823232/img/CQXuq4gj1XLbziJw.jpg
66,@nine11inreverse,s hairline,24-May,"When did you leave America, bro? I remember when you lived in Boston (bus driver?) and your handle was @Hedge76. You were pro-military and constantly pushing the government’s Boston Marathon bombing narrative with #BostonStrong. At one point, you went by the moniker “Bat Hedge.”",https://pbs.twimg.com/media/E2M8xAnXsAUrfTt.jpg,No Video
67,@markruggiero20,mark ruggiero,24-May,As usual thanks my man @middlebrooks . Never refuses to help us out. #bostonstrong,https://pbs.twimg.com/media/E2L7nSpX0AU2w3u.jpg,No Video
68,@JohnnyR61105610,Johnny B Wright,24-May,I need a radio show where I just talk shit until someone gets my ass in the parking lot. #goals #BostonStrong #CNN,https://pbs.twimg.com/tweet_video_thumb/E2KKx_oXsAApjq8.jpg,https://pbs.twimg.com/tweet_video_thumb/E2KKx_oXsAApjq8.jpg
69,@timboggsDOTcom,Tim B,23-May,So the Boston Bruins did everyone who watches hockey a favor (except for those in the Mid Atlantic states) and sent Tom Wilson and his buddies to go play golf! It's about time Boston did something useful! #GolfCapsGolf #BostonStrong,[],No Video
70,@TweetThisBabe,No Name,23-May,YESSSSSS!!!  BRUINS SCORE LEADING 3 - 1 IN THE 3RD!  #GoBruinsGo #BostonStrong #Believe #ProtectTheNet,[],No Video
71,@HaikuInc_,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/FrNSK8OXgAAafnq.jpg,No Video
72,@JohnnyR61105610,Johnny B Wright,23-May,The Billy Bulger with the Blarney but without the psychotic killer brother to back me up. #BostonStrong ,https://pbs.twimg.com/tweet_video_thumb/E2HYsEuXMAE2tVG.jpg,https://pbs.twimg.com/tweet_video_thumb/E2HYsEuXMAE2tVG.jpg
73,@markruggiero20,mark ruggiero,23-May,Fired up to get this game used baseball from the 2013 ALCS. Pitch from @JLester34 to Prince Fielder. Such an epic series #bostonstrong @middlebrooks u agree ?,https://pbs.twimg.com/media/E2HBGIwWQAMk0bJ.jpg,No Video
74,@sr_connolly,Mark Connolly,23-May,"This @adidasBoostBos event is pretty wild. Bostonians are used to seeing marathon finishes on Boylston St., not 200m hurdles. #bostonstrong",[],No Video
75,@TweetThisBabe,No Name,23-May,Almost game time!  Let's Go @NHLBruins #BeatTheCaps  have fun and #Believe #BostonStrong #GuardTheGoal #ProtectTheNet   Let's win tonight!! :),[],No Video
76,@PSUFAN07,No Name,23-May,https://tmz.com/2021/05/23/ben-affleck-jennifer-lopez-pictured-together-first-time-rekindle/… You go Girl!! That Yankee baseball player u were seeing cheats at baseball with steroids and he cheats on women! Ben Is a much better pick!! #RedSox #BostonStrong,[],No Video
77,@usnehal,Umbereen S Nehal,23-May,"Now you too can experience your own Big Dig. Good luck. 

#Boston #BostonStrong",[],No Video
78,@MichaelJShan13,Michael J Shannon,23-May,#BostonStrong  #BostonRedSox #Brotherhood @therealmanny99 @davidortiz Thank you for the memories in Boston legendary moments your brothers are the best #HallOfFame,[],No Video
79,@ShowroomPartner,Showroom Partners Entertainment,23-May,Angry Cop! We will continue to share your videos on social media if you are dumb enough to send them to us. Lol our viewers love your entire playlist on out YouTube/Showroompartners #entertainment channel #angrycops #bostonstrong #sprayfoam,https://pbs.twimg.com/ext_tw_video_thumb/1396437372414353412/pu/img/mcckkggM-TbH4sRL.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1396437372414353412/pu/img/mcckkggM-TbH4sRL.jpg
80,@NordVPN,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/F9HpeYfXQAA2ias.jpg,No Video
81,@TweetThisBabe,No Name,22-May,@RedSox  Great win!  So proud of ya'll!  :) #BostonStrong #BelieveInBoston,[],No Video
82,@LeaveItToJRey,No Name,22-May,@ufc what did I TELL YOU! @RobSFont is No Joke! Let's GO!!! #NewEnglandCartel #BostonStrong #UFC #ChampShitOnly,https://pbs.twimg.com/tweet_video_thumb/E2Ci94EXEAMrcFf.jpg,https://pbs.twimg.com/tweet_video_thumb/E2Ci94EXEAMrcFf.jpg
83,@CharlesRosaMMA,Charles Rosa,22-May,Congrats @RobSFont #UFCVegas27 #BostonStrong,[],No Video
84,@deddilus,No Name,22-May,"@RobSFont Let's go!!
#NewEnglandCartel
#BostonStrong
#UFCVegas27",[],No Video
85,@UpperDeckSports,Upper Deck,No Date,No Tweet Contents,https://pbs.twimg.com/media/F_Kz2SFXMAAnQmX.jpg,No Video
86,@usnehal,Umbereen S Nehal,22-May,Nice! Wow. Great pic - Zakim bridge? I had NO idea there were those windows on top! You may already know but the center portion is designed to look like the Bunker HIll monument that is behind the bridge (depending on where you are standing). #Boston #BostonStrong,[],No Video
87,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,https://pbs.twimg.com/media/F9N502tWIAASUqJ.jpg,No Video
88,@BenAltsher,Ben Altsher,22-May,"Certainly didn't help things, but that year was about more than just the title anyway.  You guys helped the city heal.  #BostonStrong",[],No Video
89,@Jeremy_Horn,Jeremy Horn,22-May,".@JohnnyGill of @NewEdition and me at his birthday party in Chicago on June 2012, after ""Da Fellas"" performed their 30th Anniversary concert at the UIC-Pavilion. Happy Birthday, ""Boogie!"" He turns 55. #NE4LIFE #BostonStrong #WashingtonDC #Unsung @ROBNEHISTORIAN @brookepayne",https://pbs.twimg.com/media/E1-0wq3WQAEzFl9.jpg,No Video
90,@n8olson31,Nathan Olson,21-May,I would say Xander Bogaerts has proved to be no ordinary 20 year old shortstop and @middlebrooks has one heck of a good life. #WorldSeriesChamp #BostonStrong #JennyDell,[],No Video
91,@E2GSports,E2G Sports,21-May,Bruins lead the series now 3-1 against the Capitals #NHLBruins #ALLCAPS #PlayOffs #StanleyCup #@NHLBruins #hockey #HockeyTwitter #FridayVibes #pucklife #icerink #BostonStrong #Leader,https://pbs.twimg.com/media/E19LJodXEAEK1rk.jpg,No Video
92,@TweetThisBabe,No Name,21-May,GOALLLLLLLL #BRUINS  Let's gooooooo!!!!!  #BeatTheCapitals  1 - 0     #BostonStrong #Believe #TeamPlay #ProtectTheNet #GuardTheGoal,[],No Video
93,@Bulliescardart,No Name,21-May,"1/1 David Ortiz “Boston Strong” Patch Card is now up for sale
#davidortiz #boston #redsox #bigpapi #cardart #customcards #oneofone #patchcard #Bostonstrong @MatthewLeeRosen @CardPurchaser @HiveCards @HeavyJ28
https://baseballcard.art/products/1-1-david-ortiz-boston-strong-patch-card?variant=40117193703573…",[],No Video
94,@carmensunion589,Boston Carmens UnionLocal 589,20-May,Congrats to our former Boston Carmen's Union President Stephan MacDougall on his well-deserved appointment as ATU International Vice President. The executive board and members of Local 589 wish you the best of luck in your new position. #BostonStrong #WhenWeFightWeWin,https://pbs.twimg.com/media/E12fdtpXEAIS9wI.jpg,No Video
96,@JohnnyR61105610,Johnny B Wright,20-May,"She blocked me for being smart. First time for everything. I blamed Clapper, not you, @marcorubio. Wait’ll she finds out Obama said something too. #BostonStrong  https://twitter.com/LeslieMarshall/status/1395506005245448194…",[],No Video
97,No twitter handle,No Name,No Date,No Tweet Contents,No Images,No Video
98,@c2_comics,Charlie The Gnarly,20-May,"i'm from the commonwealth, i'm here to help

#bostonstrong",https://pbs.twimg.com/media/E13XGNdWEAEj1Xv.jpg,No Video
99,@SH3LZ_81,Sheldon Richardson,20-May,After Smith put in that goal... I was like HE DID THE THING!!! (2-1) Smack the Caps continue to stack and bring home that covenant nickn-nack(Lord Stanley)#BostonStrong #StanleyCupPlayoffs #NHLBruins #NewEnglandPatriots,https://pbs.twimg.com/tweet_video_thumb/E13TO1QXMAEGzvo.jpg,https://pbs.twimg.com/tweet_video_thumb/E13TO1QXMAEGzvo.jpg
100,@JohnnyR61105610,Johnny B Wright,20-May,Mike Barnicle used to kiss Whitey Bulger’s ass. And Billy too. #MSNBC #morningjoe #BostonStrong,https://pbs.twimg.com/tweet_video_thumb/E105JjiWQAAEX85.jpg,https://pbs.twimg.com/tweet_video_thumb/E105JjiWQAAEX85.jpg
106,@SH3LZ_81,Sheldon Richardson,20-May,After Smith put in that goal... I was like HE DID THE THING!!! (2-1) Smack the Caps continue to stack and bring home that covenant nickn-nack(Lord Stanley)#BostonStrong #StanleyCupPlayoffs #NHLBruins #NewEnglandPatriots,[],https://pbs.twimg.com/tweet_video_thumb/E13TO1QXMAEGzvo.jpg
107,@JohnnyR61105610,Johnny B Wright,20-May,Mike Barnicle used to kiss Whitey Bulger’s ass. And Billy too. #MSNBC #morningjoe #BostonStrong,[],https://pbs.twimg.com/tweet_video_thumb/E105JjiWQAAEX85.jpg
108,@PSUFAN07,No Name,19-May,"I Love my #RedSox . #DirtyWater I told you,  you’d get-um tonight! #BostonStrong #SweetWin",https://pbs.twimg.com/media/Ey4kjegWYAcv4yt.jpg,https://pbs.twimg.com/media/Ey4kjegWYAcv4yt.jpg
109,@xINF4NTx,No Name,19-May,Oh yeah baby!! #BostonStrong,https://pbs.twimg.com/media/Ey4kjegWYAcv4yt.jpg,https://pbs.twimg.com/media/Ey4kjegWYAcv4yt.jpg
110,@NordVPN,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/F9HpU7SXMAAfXyn.jpg,No Video
111,@TweetThisBabe,No Name,19-May,YAYYYYYYY  BRUINS WIN!!!!   Woohoooo  Congrats @NHLBruins  in double OT.  Lead the series 2 - 1   Love it!   #TeamPlay #BostonStrong #Believe  :),[],No Video
112,@urbanmagnum,Tarsha Rivera,19-May,"Bravo excellent I love the dynamic between you and Jenny, you can see the love between you both it comes across the screen. God bless you and your family my heart goes out dear Alma was an angel #Bostonstrong",[],No Video
113,@TweetThisBabe,No Name,19-May,Let's goooooooooooo @NHLBruins #BeatTheCaps in OT!!!   #BostonStrong #Believe #ProtectTheNet #GuardTheGoal,[],No Video
114,@stephenbeantown,stephen gaines,19-May,First Time Walking Around Downtown In A Year  #BeautifulBoston #BostonStrong #Boston #CityOfChampions ,https://pbs.twimg.com/media/E1yKS27WQAEI6zB.jpg,No Video
115,@TheMatterbater,No Name,18-May,Gonna be some racial slurs thrown out there.... #BostonStrong,[],No Video
116,@TheMightySite,The Mighty,No Date,No Tweet Contents,https://pbs.twimg.com/media/FuKvSKhXoAEigjw.jpg,No Video
117,@bjstcrusn,Brian L,18-May,Big fan of @Cody_Nolove but think @RobSFont takes it! #bostonstrong,[],No Video
118,@JohnnyR61105610,Johnny B Wright,18-May,I have to watch guys in a mask & no shirt run by my yard. I have to pretend it doesn’t look really dumb. It is hard to do. #BostonStrong #BOSpoli,[],No Video
119,@Art_No_Rules,No Name,18-May,@hallsy09 baby!! Mf'in #Grit #BruinsFam #BostonStrong,https://pbs.twimg.com/ext_tw_video_thumb/1394646494603616272/pu/img/1Rz8YZ6qa2xEOASl.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1394646494603616272/pu/img/1Rz8YZ6qa2xEOASl.jpg
120,@TweetThisBabe,No Name,17-May,Let's Goooo #NHLBruins   Let's win this game in OT!  #BostonStrong #Believe,[],No Video
121,@mali3035,Lucius Freeman,17-May,Agreed. Boston doesn’t need you @jaytatum0 #bust #bostonstrong #bigpapi #billsimmons,https://pbs.twimg.com/media/E1nzghjXMAUzFBC.jpg,No Video
122,@wickedblonde44,Charlie Tramwell,17-May,"Just want to send some love out to all the restaurant and bar owners who had to close for good because of Covid. With the mask mandate being dropped, I just feel for them. #bostonstrong #restaurantstrong #maskoff #COVID19",[],No Video
123,@JoeSchmoe6597,No Name,17-May,You really are losing it ....#BostonStrong,[],No Video
132,@usnehal,Umbereen S Nehal,17-May,"..lots of answers to this, however want to stay laser focused on #clinician #frontline #mentalhealth 

Many components to improving this many of which are in this bill. As a #newyorktough and #bostonstrong doctor myself, can say

#humanism > “grit”

https://medpagetoday.com/publichealthpolicy/healthpolicy/91510…",[],No Video
133,@Cajmonay,No Name,17-May,"It’s going to be an amazing summer 

#BostonStrong #LFG",https://pbs.twimg.com/media/E1mw6A_XIAAyItU.jpg,No Video
134,@bearcamprentals,Bear Camp Cabin Rentals,No Date,No Tweet Contents,https://pbs.twimg.com/commerce_product_img/1630219990430281730/tTp23wCG.jpg,No Video
135,@JohnnyR61105610,Johnny B Wright,17-May,"If you want to wear the mask, that is fine. Do not give others any shit or you should stay indoors until I say so. #BostonStrong #BOSpoli #MApoli",[],No Video
136,@JohnnyR61105610,Johnny B Wright,17-May,My Scientist told me I’m good now. #CNN #CovidVaccine #BostonStrong,https://pbs.twimg.com/tweet_video_thumb/E1mLDBtWYAM1jqT.jpg,https://pbs.twimg.com/tweet_video_thumb/E1mLDBtWYAM1jqT.jpg
137,@Jeremy_Horn,Jeremy Horn,16-May,A true music legend and lead singer of @NewEdition! #NE4Life #BostonStrong @RalphTresvant @itsAlgee @ROBNEHISTORIAN,https://pbs.twimg.com/media/E1f8VNMXMAAe8SR.jpg,No Video
138,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,https://pbs.twimg.com/media/F_ei7v_WwAAem9j.jpg,No Video
139,@qngWz4N1ri7Tw1a,احمد ابو شعيرة,15-May,We salute #Boston4Palestine #bostonstrong,[],No Video
140,@JDonthebirdapp,No Name,15-May,I walk in the jects without no protection #bostonstrong #redsoxnation @ Crenshaw District https://instagram.com/p/CO6MfOuNR8xWT8Oa-nh1hbZuSHIBdSoMry2T480/?igshid=rqq5uf201rou…,[],No Video
141,@semperfidem2004,Henri d,15-May,"@Bastards_Boston wicked handle. Ima followin just foh that
#RedSox
#BostonStrong",[],No Video
142,@tamina_prince,Aliens think Im cute,15-May,"Proud to be Bostonian.
#bostonterrier #bostondotcom #bostonstrong
♡♡♡",https://pbs.twimg.com/media/E1cFn5hXMAIzsXF.jpg,No Video
143,@USAWager,USA Wager,15-May,"The Red Sox sported their “Boston Strong” jerseys for the first time as Ortiz spoke from the heart. He ended his speech by saying, “This is our fucking city.” 

See more at Sports20 site (sports20dotcom)(just change dot to . )

#Redsox #BostonStrong #Ortiz #StephenDrew #Bogaerts",https://pbs.twimg.com/media/E1cAi1nXsAQcx5Y.jpg,No Video
144,@Tired2Iam,John Adams,15-May,"I love (ex-) Mayah Mahty @marty_walsh !

#BostonStrong",[],No Video
145,@JohnnyR61105610,Johnny B Wright,15-May,I think I could beat a Shark & a Bear but I am wrong. #7News #BostonStrong,[],No Video
146,@Jeremy_Horn,Jeremy Horn,15-May,"""I'm Still In Love With You"" by New Edition from their 1996 album, ""Home Again."" Produced and written by @flytetymejam and @TLSOUNDOFF. Amazing vocal performances from @RalphTresvant and @MrRickyBell! #NE4Life #BostonStrong",[],No Video
147,@Athenna30Toto,Jennifer Toto,14-May,"Come on, let’s go! #bostonstrong",[],No Video
148,@HeroWarsWeb,Hero Wars,No Date,No Tweet Contents,https://pbs.twimg.com/amplify_video_thumb/1727974182669975552/img/074GnOCMF9SzAbG6.jpg,https://pbs.twimg.com/amplify_video_thumb/1727974182669975552/img/074GnOCMF9SzAbG6.jpg
149,@theSoupisHot,John Supik,14-May,"Let Tsarnaev off on double homicide he was the only suspect in
Don't stop him bombing the marathon
Cover up+ Deny him constitutional rights
?
Beat up wife and 19 year old on the side
???
Marky Mark movie
#BostonStrong",[],No Video
150,@redchick1978,𝕊𝕙𝕒𝕦𝕟𝕟𝕒 𝕎𝕠𝕝𝕖𝕟𝕤𝕜𝕪,14-May,"He just checked into a hotel in Worchester, MA - Jamie
I think it’s pronounced Worcester - Danny
I love that @DonnieWahlberg always reps!! #BostonStrong #BlueBloods",[],No Video
151,@sull06045035,No Name,14-May, this! #bostonstrong ,[],No Video
152,@GregoryGLake,Glenn Lake,14-May,"No Not the #leaningtowerpisa 

Just ... The esthic angle 
#bostonstrong",https://pbs.twimg.com/media/E1Ydpf3WUAkv2n5.jpg,No Video
